username,replies_count,reblogs_count,favourites_count
FediTips,1.075,14.35,2.85
Gargron,0.575,2.5,15.65
Mastodon,40.05,549.575,800.95
_kokt,0.05,0.05,0.0
aaron.rupar,2.175,10.675,4.975
arstechnica,3.95,29.85,37.875
barackobama,2.1666666666666665,17.5,8.5
blackcraftcult,0.0,0.0,0.0
calm,0.7,0.35,0.35
derpostillon,4.825,37.05,80.225
drunkpeopledoingthings,0.0,0.0,0.0
elonmusksjet,0.36363636363636365,0.36363636363636365,0.36363636363636365
erica.fett,0.05555555555555555,0.05555555555555555,0.05555555555555555
feliciaday,1.3846153846153846,2.923076923076923,2.6153846153846154
georgetakei,5.5,20.4,15.025
godpod,9.7,91.475,45.6
gtconway3,0.95,4.05,1.45
hubermanlab,0.2857142857142857,0.0,0.14285714285714285
janboehm,14.8,52.725,41.05
johngreenwritesbooks,0.7352941176470589,4.529411764705882,5.029411764705882
jojo.fromjerz,1.275,7.15,2.825
kaldicoffeefarm,0.0,11.555555555555555,0.2222222222222222
meidastouch,0.575,5.975,1.125
mollyjongfast,1.0,1.25,0.175
mosseri,11.075,8.15,4.975
motherjonesmag,0.45,0.85,0.05
neilhimself,0.25,0.025,0.4
postopinions,0.225,0.25,0.05
potus,2.275,26.275,18.525
propublica,0.275,0.4,0.025
rbreich,9.75,121.175,43.925
rejectness,0.0,0.0,0.0
sidneyraz,0.175,0.0,0.0
stux,2.15,14.7,4.75
taylorlorenz,7.175,77.95,96.875
techcrunch,0.725,0.625,0.4
theapplehub,0.4,0.225,0.5
thewalkingdead,0.1,0.1,0.0
whitehouse,0.425,5.875,2.825
withmastery,0.0,0.1,0.025
zuck,30.071428571428573,44.142857142857146,40.357142857142854
